model,accuracy,f1_macro,mae,off_by_one_acc,qwk,pearson,spearman,rmse
LogReg,0.4053840063341251,0.39320341991928204,0.7528107680126682,0.8418052256532067,0.19788651842828886,,,
LinearSVM,0.41060965954077594,0.39555552299244684,0.7575613618368963,0.8318289786223277,0.19357631253879937,,,
RoBERTa-Clf,0.4636579572446556,0.4588386621789026,0.6356294536817102,0.9007125890736342,0.36984414110766917,,,
RoBERTa-Reg,0.4733174980205859,0.46693231449492134,0.6270783847980997,0.8996041171813143,0.3804624314423476,0.5418195128440857,0.5045067908959204,0.18490488827228546
Zero-Shot,0.398,0.3480066348841795,0.806,0.796,0.11711659297184085,,,
Few-Shot k=1,0.402,0.3560766743281847,0.822,0.776,0.21682289097187957,,,
Few-Shot k=2,0.388,0.3261818681980443,0.858,0.754,0.19726952716202073,,,
Few-Shot k=3,0.396,0.3414430411660329,0.846,0.758,0.18759773260359647,,,
